City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tazacorte,28.629,-17.9293,22.54,78,20,4.12,ES,1699900794
83,hadibu,12.65,54.0333,26.65,84,92,3.92,YE,1699900794
84,invercargill,-46.4,168.35,9.45,97,43,1.34,NZ,1699900794
85,goranboy,40.6103,46.7897,18.16,43,21,4.62,AZ,1699900794
86,malpe,13.35,74.7167,25.61,75,100,2.73,IN,1699900795
87,kodiak,57.79,-152.4072,5.73,42,0,10.8,US,1699900570
88,greenville,35.6127,-77.3663,16.09,53,0,2.06,US,1699900544
89,anadyr,64.75,177.4833,-7.72,92,100,8.94,RU,1699900795
90,vadso,70.0744,29.7487,-9.91,85,75,7.2,NO,1699900795
91,new norfolk,-42.7826,147.0587,11.62,70,99,2.2,AU,1699900795
92,manismata,-2.4667,111.0333,23.32,98,98,0.68,ID,1699900795
93,fort bragg,35.139,-79.006,17.12,46,0,1.54,US,1699900795
94,hasaki,35.7333,140.8333,7.38,44,0,9.01,JP,1699900757
95,happy valley-goose bay,53.3168,-60.3315,0.17,64,75,5.14,CA,1699900796
96,longyearbyen,78.2186,15.6401,-11.09,67,40,3.6,SJ,1699900625
97,alofi,-19.0595,-169.9187,22.94,100,100,4.63,NU,1699900796
98,nayoro,44.3506,142.4578,-2.53,98,100,1.13,JP,1699900796
99,isafjordur,66.0755,-23.124,5.02,65,40,9.26,IS,1699900796
100,kapa'a,22.0752,-159.319,26.18,72,40,7.72,US,1699900796
101,bonthe,7.5264,-12.505,27.03,83,100,2.65,SL,1699900796
102,hermanus,-34.4187,19.2345,16.34,76,4,9.45,ZA,1699900797
103,beibei,29.8256,106.4339,12.43,81,100,1.5,CN,1699900797
104,tsiombe,-25.3,45.4833,21.73,76,100,2.41,MG,1699900649
105,rio grande,-32.035,-52.0986,24.06,92,100,2.81,BR,1699900797
106,mugia,43.1041,-9.2179,18.98,98,100,9.69,ES,1699900797
107,tiksi,71.6872,128.8694,-13.66,89,100,3.09,RU,1699900797
108,kuanda,56.3161,116.0806,-15.31,86,55,0.49,RU,1699900797
109,papatowai,-46.5619,169.4708,10.55,93,62,1.62,NZ,1699900798
110,miedzyrzecz,52.4446,15.578,7.04,70,100,5.96,PL,1699900798
111,xique xique,-10.8217,-42.7311,34.59,30,0,1.02,BR,1699900798
112,bredasdorp,-34.5322,20.0403,15.92,76,0,8.17,ZA,1699900798
113,avarua,-21.2078,-159.775,22.03,68,100,2.57,CK,1699900798
114,udachny,66.4167,112.4,-10.16,92,100,3.16,RU,1699900798
115,arkalyk,50.2486,66.9114,3.42,79,100,3.84,KZ,1699900798
116,ust-nera,64.5667,143.2,-30.73,99,69,1.71,RU,1699900798
117,cabo san lucas,22.8909,-109.9124,30.84,58,20,1.54,MX,1699900799
118,talcahuano,-36.7167,-73.1167,14.82,63,0,8.23,CL,1699900799
119,kabinda,-6.1333,24.4833,20.32,96,100,1.49,CD,1699900799
120,axim,4.8699,-2.2405,26.63,85,0,2.79,GH,1699900799
121,quesada,10.3238,-84.4271,29.73,96,100,1.69,CR,1699900511
122,luderitz,-26.6481,15.1594,20.46,53,0,6.07,NA,1699900799
123,enewetak,11.3474,162.3373,28.06,79,97,8.89,MH,1699900799
124,las heras,-46.5419,-68.9359,14.38,22,85,15.56,AR,1699900799
125,port lincoln,-34.7333,135.8667,13.63,86,100,4.16,AU,1699900799
126,selkirk,50.1436,-96.8845,5.04,97,100,1.79,CA,1699900800
127,kone,-21.0595,164.8658,19.23,72,0,1.63,NC,1699900589
128,patrocinio,-18.9439,-46.9925,36.1,17,60,2.95,BR,1699900618
129,cam ranh,11.9214,109.1591,25.98,94,40,2.06,VN,1699900800
130,vlasim,49.7063,14.8988,9.04,93,100,5.76,CZ,1699900800
131,giyani,-23.3025,30.7187,20.65,72,100,4.24,ZA,1699900800
132,villa luvianos,18.9167,-100.4,25.18,56,2,2.0,MX,1699900801
133,zouerate,22.7187,-12.4521,28.86,15,94,3.63,MR,1699900801
134,basco,20.4487,121.9702,25.39,76,100,12.84,PH,1699900801
135,lebu,-37.6167,-73.65,12.47,66,34,4.8,CL,1699900801
136,san rafael,-34.6177,-68.3301,23.35,15,0,4.23,AR,1699900801
137,port alfred,-33.5906,26.891,16.21,84,100,4.57,ZA,1699900802
138,selfoss,63.9331,-20.9971,1.95,58,19,9.6,IS,1699900802
139,el jadid,33.2549,-8.506,20.31,74,0,6.11,MA,1699900802
140,ribadesella,43.4614,-5.0596,17.75,83,100,2.38,ES,1699900803
141,el fasher,13.6279,25.3494,30.65,24,45,2.29,SD,1699900803
142,betio village,1.358,172.9211,27.02,79,97,3.41,KI,1699900803
143,bardai,11.65,7.2333,25.06,21,60,3.73,NG,1699900803
144,margaret river,-33.95,115.0667,14.87,91,98,5.25,AU,1699900804
145,georgetown,5.4112,100.3354,27.75,89,20,2.57,MY,1699900548
146,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,0,12.52,RU,1699900542
147,manacapuru,-3.2997,-60.6206,34.98,41,99,2.04,BR,1699900804
148,rayachoti,14.05,78.75,20.8,92,100,1.04,IN,1699900804
149,kassala,15.451,36.4,31.26,35,6,3.93,SD,1699900804
150,kingston,17.997,-76.7936,34.02,63,40,8.75,JM,1699900701
151,kristiansund,63.1115,7.732,0.36,74,0,2.57,NO,1699900805
152,dunhua,43.3725,128.2425,-10.58,91,6,2.11,CN,1699900805
153,kerns,46.9009,8.2765,13.55,74,75,2.57,CH,1699900805
154,stettler,52.3168,-112.7186,7.86,42,100,6.69,CA,1699900805
155,sinabang,2.4803,96.3801,25.67,88,100,2.0,ID,1699900805
156,tazovsky,67.4667,78.7,-15.14,87,6,6.98,RU,1699900805
157,barra de santo antonio,-9.4047,-35.5072,30.6,63,13,4.39,BR,1699900806
158,gallup,35.5281,-108.7426,13.91,35,0,4.63,US,1699900806
159,talnakh,69.4865,88.3972,-10.44,96,100,3.07,RU,1699900806
160,keflavik,64.0049,-22.5624,5.95,56,75,9.26,IS,1699900806
161,labrador city,52.9463,-66.9114,-8.05,86,75,2.57,CA,1699900806
162,plouzane,48.3833,-4.6167,13.1,88,40,7.2,FR,1699900807
163,vicuna mackenna,-33.9197,-64.3922,22.16,33,0,4.5,AR,1699900807
164,whitehorse,60.7161,-135.0538,-7.21,85,75,8.75,CA,1699900611
165,souillac,-20.5167,57.5167,24.21,83,40,1.54,MU,1699900807
166,frontera,26.9333,-101.45,14.86,88,100,3.09,MX,1699900807
167,kununurra,-15.7667,128.7333,24.99,94,49,2.57,AU,1699900808
168,simga,21.6333,81.7,21.91,58,100,0.62,IN,1699900808
169,akureyri,65.6835,-18.0878,2.96,70,75,1.03,IS,1699900808
170,vorkuta,67.5,64.0,-18.63,100,94,2.49,RU,1699900808
